[14:36:37] [main/DEBUG]: Using SLF4J as the default logging framework
[14:36:37] [main/DEBUG]: -Dio.netty.leakDetection.level: simple
[14:36:37] [main/DEBUG]: -Dio.netty.leakDetection.targetRecords: 4
[14:36:37] [main/INFO]: 🚀 MCRe ModMetadata loaded: 26.2
[14:36:37] [main/DEBUG]: -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
[14:36:37] [main/DEBUG]: -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
[14:36:37] [main/DEBUG]: -Dio.netty.initialSeedUniquifier: 0x4afb8f48b7e24064
[14:36:37] [main/DEBUG]: Loading LWJGL system
[14:36:38] [main/DEBUG]: Loading vma
[14:36:38] [main/DEBUG]: Loading tinyfd
[14:36:38] [main/DEBUG]: Loading GLFW
[14:36:38] [main/DEBUG]: Loading spvc
[14:36:38] [main/DEBUG]: Loading freetype
[14:36:38] [main/DEBUG]: Loading shaderc
[14:36:38] [main/DEBUG]: Loading STB
[14:36:38] [main/DEBUG]: Loading OpenAL
[14:36:38] [main/DEBUG]: Loading OpenGL
[14:36:38] [main/DEBUG]: Library load time: 526 ms
[14:36:40] [main/WARN]: Did not find udev library in operating system. Some features may not work.
[14:36:40] [main/WARN]: File not found or not readable: /proc/stat
[14:36:40] [main/DEBUG]: Reading file /proc/uptime
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/uevent
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/uevent
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/topology/core_id
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/topology/core_id
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/topology/physical_package_id
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/topology/physical_package_id
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cpu_capacity
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cpu_capacity
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index2/level
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index2/level
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index2/type
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index2/type
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index2/ways_of_associativity
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index2/coherency_line_size
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index2/size
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index0/level
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index0/level
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index0/type
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index0/type
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index0/ways_of_associativity
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index0/coherency_line_size
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index0/size
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index3/level
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index3/level
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index3/type
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index3/type
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index3/ways_of_associativity
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index3/coherency_line_size
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index3/size
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index1/level
[14:36:40] [main/DEBUG]: Reading file /sys/devices/system/cpu/cpu7/cache/index1/level
